Marker_ID,Detection_Rate,BlackBits,WhiteBits,FillRatio,RowTransitions,ColTransitions,TotalTransitions,BlackComponents,WhiteComponents,TotalComponents,HorizontalSymmetry,VerticalSymmetry,Rotation90Similarity,Rotation180Similarity,Rotation270Similarity,NearestHammingDistance,AverageHammingDistance
13,100.0,9,7,0.4375,5,7,12,1,3,4,0.625,0.375,0.5,0.375,0.5,3,7.815602836879433
17,100.0,12,4,0.25,4,2,6,1,1,2,1.0,0.5,0.625,0.5,0.625,4,8.127659574468085
49,100.0,11,5,0.3125,5,4,9,1,3,4,0.375,0.625,0.5,0.625,0.5,3,7.929078014184397
62,100.0,13,3,0.1875,4,5,9,1,3,4,0.625,0.625,0.625,0.625,0.625,4,7.914893617021277
41,100.0,11,5,0.3125,8,4,12,1,3,4,0.375,0.625,0.625,0.375,0.625,3,7.872340425531915
107,100.0,12,4,0.25,5,3,8,1,2,3,0.5,0.75,0.5,0.5,0.5,3,7.6879432624113475
118,100.0,13,3,0.1875,4,4,8,1,3,4,0.625,0.625,0.75,0.625,0.75,4,7.702127659574468
112,100.0,10,6,0.375,3,5,8,1,2,3,0.5,0.25,0.5,0.5,0.5,3,7.404255319148936
110,100.0,13,3,0.1875,2,4,6,1,2,3,0.625,0.625,0.75,0.625,0.75,4,7.716312056737588
85,100.0,3,13,0.8125,6,1,7,1,1,2,0.625,0.875,0.75,0.625,0.75,4,8.553191489361701
126,100.0,11,5,0.3125,2,7,9,1,2,3,0.625,0.375,0.5,0.375,0.5,3,7.404255319148936
140,100.0,11,5,0.3125,4,5,9,1,2,3,0.625,0.625,0.375,0.625,0.375,3,7.602836879432624
23,99.97,8,8,0.5,7,4,11,1,3,4,0.5,0.25,0.625,0.5,0.625,3,8.141843971631205
10,99.97,7,9,0.5625,5,3,8,1,1,2,0.875,0.625,0.625,0.625,0.625,4,8.595744680851064
115,99.97,12,4,0.25,3,7,10,1,3,4,0.75,0.5,0.5,0.5,0.5,3,7.617021276595745
80,99.97,9,7,0.4375,5,3,8,1,2,3,0.375,0.625,0.375,0.375,0.375,4,8.141843971631205
87,99.94,5,11,0.6875,5,5,10,2,2,4,0.625,0.625,0.5,0.625,0.5,4,8.609929078014185
136,99.94,9,7,0.4375,3,7,10,2,1,3,0.875,0.625,0.25,0.625,0.25,3,7.560283687943262
30,99.91,11,5,0.3125,8,3,11,1,3,4,0.375,0.625,0.5,0.375,0.5,4,7.74468085106383
99,99.82,8,8,0.5,3,8,11,2,2,4,0.5,0.75,0.375,0.5,0.375,3,8.212765957446809
121,99.36,10,6,0.375,3,5,8,1,2,3,0.5,0.5,0.5,0.25,0.5,3,7.6453900709219855
69,99.27,9,7,0.4375,6,4,10,1,3,4,0.625,0.875,0.625,0.625,0.625,4,7.858156028368795
50,99.27,10,6,0.375,8,5,13,2,4,6,0.5,0.75,0.625,0.5,0.625,4,8.099290780141844
142,99.02,7,9,0.5625,4,8,12,2,2,4,0.625,0.375,0.5,0.375,0.5,3,7.574468085106383
120,98.87,11,5,0.3125,3,8,11,2,3,5,0.625,0.375,0.5,0.625,0.5,3,7.801418439716312
108,98.84,11,5,0.3125,6,6,12,2,3,5,0.625,0.625,0.625,0.375,0.625,3,7.588652482269503
64,98.57,9,7,0.4375,8,4,12,2,2,4,0.375,0.625,0.5,0.375,0.5,4,7.900709219858156
4,98.51,8,8,0.5,8,7,15,3,4,7,0.5,0.25,0.375,0.5,0.375,4,7.900709219858156
48,98.38,10,6,0.375,6,5,11,1,3,4,0.5,0.5,0.25,0.75,0.25,4,7.872340425531915
5,98.23,6,10,0.625,6,6,12,2,3,5,0.5,0.5,0.5,0.5,0.5,4,8.26950354609929
94,98.2,9,7,0.4375,7,6,13,2,3,5,0.625,0.625,0.375,0.625,0.375,3,8.02836879432624
125,98.05,11,5,0.3125,4,5,9,1,2,3,0.625,0.375,0.5,0.375,0.5,4,7.787234042553192
127,97.87,9,7,0.4375,2,7,9,2,1,3,0.625,0.625,0.375,0.625,0.375,3,7.418439716312057
40,97.84,10,6,0.375,4,6,10,1,2,3,0.5,0.5,0.375,0.5,0.375,4,7.815602836879433
1,97.8,8,8,0.5,5,8,13,3,2,5,0.75,0.5,0.375,0.5,0.375,3,7.602836879432624
21,97.8,9,7,0.4375,6,6,12,1,4,5,0.625,0.875,0.625,0.625,0.625,4,8.184397163120567
43,97.68,9,7,0.4375,6,7,13,2,3,5,0.375,0.625,0.5,0.375,0.5,4,7.886524822695035
131,97.5,6,10,0.625,3,5,8,2,1,3,0.75,0.5,0.625,0.5,0.625,3,7.50354609929078
86,97.41,7,9,0.5625,7,3,10,2,2,4,0.375,0.625,0.375,0.375,0.375,4,8.28368794326241
129,97.23,8,8,0.5,3,6,9,1,1,2,0.75,0.25,0.5,0.25,0.5,3,7.404255319148936
63,96.62,11,5,0.3125,6,6,12,2,3,5,0.375,0.375,0.375,0.625,0.375,3,8.141843971631205
52,96.4,9,7,0.4375,8,5,13,2,3,5,0.375,0.625,0.5,0.125,0.5,4,7.829787234042553
141,96.34,10,6,0.375,6,4,10,1,2,3,0.25,0.5,0.375,0.75,0.375,3,7.75886524822695
114,96.31,10,6,0.375,5,6,11,2,2,4,0.75,0.5,0.625,0.5,0.625,3,7.617021276595745
139,95.85,10,6,0.375,6,7,13,1,4,5,0.5,0.5,0.5,0.75,0.5,3,7.546099290780142
74,95.79,6,10,0.625,4,4,8,2,1,3,0.5,0.5,0.375,0.5,0.375,4,8.382978723404255
2,95.76,8,8,0.5,6,5,11,3,3,6,0.25,0.5,0.375,0.5,0.375,4,8.0
77,95.76,9,7,0.4375,7,7,14,3,3,6,0.625,0.125,0.5,0.375,0.5,4,8.127659574468085
37,95.61,7,9,0.5625,2,4,6,1,1,2,0.875,0.125,0.5,0.125,0.5,3,7.446808510638298
98,95.49,8,8,0.5,7,9,16,5,3,8,0.75,0.5,0.625,0.5,0.625,3,8.127659574468085
33,95.34,7,9,0.5625,3,9,12,2,3,5,0.625,0.625,0.625,0.625,0.625,3,8.595744680851064
138,94.09,8,8,0.5,5,6,11,3,2,5,0.5,0.75,0.625,0.5,0.625,3,7.588652482269503
132,93.99,10,6,0.375,4,6,10,2,1,3,0.5,0.5,0.5,0.5,0.5,3,7.702127659574468
113,93.72,11,5,0.3125,5,5,10,1,2,3,0.375,0.625,0.5,0.625,0.5,3,7.546099290780142
76,93.66,7,9,0.5625,5,8,13,2,3,5,0.375,0.375,0.375,0.625,0.375,4,8.184397163120567
3,93.57,9,7,0.4375,8,4,12,2,3,5,0.875,0.125,0.5,0.125,0.5,3,8.042553191489361
109,93.45,9,7,0.4375,4,4,8,1,1,2,0.875,0.375,0.5,0.375,0.5,3,7.574468085106383
130,93.45,8,8,0.5,3,7,10,3,1,4,0.75,0.75,0.625,0.75,0.625,3,7.50354609929078
102,93.36,5,11,0.6875,5,7,12,3,2,5,0.625,0.625,0.5,0.375,0.5,3,8.312056737588652
82,93.11,7,9,0.5625,6,5,11,2,2,4,0.125,0.375,0.25,0.625,0.25,4,7.98581560283688
25,93.08,9,7,0.4375,6,7,13,2,3,5,0.625,0.625,0.625,0.625,0.625,3,7.914893617021277
97,92.99,6,10,0.625,5,7,12,4,1,5,0.5,0.5,0.5,0.75,0.5,3,7.815602836879433
90,92.87,7,9,0.5625,5,6,11,2,2,4,0.625,0.625,0.375,0.375,0.375,3,8.141843971631205
111,92.65,11,5,0.3125,3,5,8,2,2,4,0.875,0.375,0.625,0.375,0.625,3,7.574468085106383
103,92.41,4,12,0.75,3,5,8,2,1,3,0.5,0.75,0.5,0.5,0.5,3,8.26950354609929
75,92.23,5,11,0.6875,8,6,14,4,3,7,0.375,0.625,0.625,0.625,0.625,4,8.184397163120567
16,92.1,9,7,0.4375,9,3,12,3,2,5,0.625,0.875,0.625,0.625,0.625,4,7.7304964539007095
32,91.83,5,11,0.6875,4,6,10,2,2,4,0.625,0.625,0.625,0.375,0.625,3,7.914893617021277
26,91.55,8,8,0.5,7,5,12,3,2,5,0.25,0.5,0.5,0.5,0.5,4,8.042553191489361
93,91.34,9,7,0.4375,6,8,14,3,4,7,0.375,0.625,0.375,0.375,0.375,4,7.773049645390071
106,91.25,13,3,0.1875,3,4,7,1,2,3,0.625,0.625,0.625,0.625,0.625,3,7.574468085106383
91,91.13,8,8,0.5,4,6,10,1,2,3,0.5,0.25,0.375,0.25,0.375,3,7.602836879432624
38,90.61,7,9,0.5625,4,6,10,3,1,4,0.875,0.625,0.625,0.625,0.625,3,7.460992907801418
45,90.49,6,10,0.625,6,4,10,3,1,4,0.5,0.75,0.625,0.25,0.625,4,7.6879432624113475
6,90.3,7,9,0.5625,6,7,13,3,2,5,0.625,0.375,0.5,0.375,0.5,4,7.829787234042553
54,90.07,12,4,0.25,4,5,9,2,3,5,0.75,0.5,0.625,0.5,0.625,4,8.042553191489361
61,89.79,6,10,0.625,5,8,13,3,3,6,0.5,0.25,0.375,0.5,0.375,3,8.113475177304965
71,89.48,5,11,0.6875,6,5,11,3,2,5,0.375,0.375,0.625,0.625,0.625,4,8.453900709219859
83,89.21,6,10,0.625,8,6,14,3,3,6,0.5,0.5,0.625,0.5,0.625,3,8.553191489361701
123,89.18,10,6,0.375,6,6,12,2,3,5,0.5,0.75,0.5,0.25,0.5,3,7.7304964539007095
89,89.15,8,8,0.5,9,4,13,2,3,5,0.25,0.75,0.5,0.25,0.5,4,7.858156028368795
116,89.13,7,9,0.5625,4,5,9,2,1,3,0.875,0.375,0.375,0.375,0.375,4,7.560283687943262
29,88.84,7,9,0.5625,5,6,11,2,2,4,0.625,0.625,0.375,0.625,0.375,4,7.75886524822695
15,88.84,8,8,0.5,6,6,12,3,1,4,0.5,0.5,0.5,0.5,0.5,4,7.801418439716312
96,88.81,7,9,0.5625,5,7,12,4,1,5,0.625,0.625,0.625,0.625,0.625,3,7.716312056737588
66,88.78,10,6,0.375,6,5,11,2,2,4,0.5,0.75,0.625,0.5,0.625,4,7.843971631205674
24,88.44,5,11,0.6875,4,5,9,2,1,3,0.625,0.625,0.375,0.625,0.375,3,8.411347517730496
65,88.41,7,9,0.5625,7,6,13,3,3,6,0.375,0.625,0.5,0.375,0.5,4,8.198581560283689
36,88.05,9,7,0.4375,6,7,13,3,3,6,0.375,0.375,0.625,0.375,0.625,3,7.617021276595745
12,87.9,7,9,0.5625,4,7,11,3,1,4,0.625,0.375,0.5,0.375,0.5,3,7.361702127659575
128,87.23,11,5,0.3125,4,4,8,1,2,3,0.375,0.375,0.375,0.625,0.375,3,7.361702127659575
73,87.13,6,10,0.625,9,8,17,5,4,9,0.5,0.75,0.625,0.5,0.625,4,8.326241134751774
95,86.8,8,8,0.5,5,8,13,4,2,6,0.5,0.75,0.625,0.5,0.625,3,8.042553191489361
119,86.68,10,6,0.375,6,8,14,2,5,7,0.5,0.5,0.625,0.5,0.625,3,7.531914893617022
14,86.46,10,6,0.375,7,8,15,3,4,7,0.5,0.25,0.375,0.5,0.375,3,7.716312056737588
134,86.43,8,8,0.5,3,8,11,2,1,3,0.75,0.25,0.5,0.25,0.5,3,7.432624113475177
78,85.73,8,8,0.5,8,6,14,2,4,6,0.5,0.5,0.375,0.5,0.375,3,8.453900709219859
104,85.46,5,11,0.6875,6,4,10,3,1,4,0.625,0.625,0.5,0.375,0.5,3,8.354609929078014
122,85.4,10,6,0.375,6,6,12,3,2,5,0.5,0.5,0.625,0.5,0.625,3,7.829787234042553
81,85.18,9,7,0.4375,5,8,13,3,2,5,0.375,0.375,0.625,0.625,0.625,4,8.156028368794326
18,84.85,7,9,0.5625,7,7,14,4,2,6,0.375,0.625,0.5,0.625,0.5,4,8.056737588652481
20,84.76,9,7,0.4375,6,8,14,2,4,6,0.625,0.375,0.625,0.375,0.625,3,7.843971631205674
55,84.7,8,8,0.5,6,7,13,3,3,6,0.75,0.5,0.375,0.5,0.375,4,7.943262411347518
88,84.66,7,9,0.5625,8,4,12,3,1,4,0.125,0.625,0.5,0.375,0.5,4,7.886524822695035
27,83.5,9,7,0.4375,11,5,16,4,4,8,0.125,0.625,0.5,0.375,0.5,4,8.28368794326241
51,82.73,9,7,0.4375,9,5,14,3,3,6,0.375,0.375,0.5,0.625,0.5,3,7.914893617021277
7,82.71,8,8,0.5,5,7,12,4,1,5,0.5,0.25,0.5,0.5,0.5,4,8.099290780141844
79,82.68,6,10,0.625,8,7,15,4,3,7,0.25,0.5,0.375,0.5,0.375,4,8.49645390070922
101,82.64,7,9,0.5625,8,7,15,4,3,7,0.375,0.625,0.5,0.375,0.5,3,8.198581560283689
58,82.13,9,7,0.4375,7,7,14,4,3,7,0.625,0.625,0.625,0.625,0.625,4,8.22695035460993
44,81.96,10,6,0.375,6,6,12,2,2,4,0.5,0.5,0.5,0.5,0.5,3,7.815602836879433
35,81.13,11,5,0.3125,6,8,14,2,5,7,0.875,0.375,0.5,0.375,0.5,3,7.48936170212766
124,81.1,7,9,0.5625,6,7,13,3,2,5,0.625,0.625,0.375,0.625,0.375,3,7.74468085106383
70,79.21,7,9,0.5625,6,7,13,3,2,5,0.625,0.625,0.375,0.625,0.375,3,7.858156028368795
100,78.69,6,10,0.625,7,6,13,4,2,6,0.5,0.5,0.25,0.75,0.25,4,8.212765957446809
72,78.63,10,6,0.375,5,6,11,2,3,5,0.5,0.25,0.625,0.5,0.625,4,8.156028368794326
59,77.53,5,11,0.6875,6,6,12,5,2,7,0.625,0.625,0.625,0.625,0.625,3,8.0
28,75.91,11,5,0.3125,6,5,11,3,3,6,0.375,0.625,0.5,0.375,0.5,4,7.75886524822695
84,75.21,7,9,0.5625,7,8,15,3,4,7,0.625,0.375,0.5,0.375,0.5,4,8.425531914893616
67,74.81,10,6,0.375,9,7,16,3,5,8,0.25,0.5,0.5,0.5,0.5,4,7.787234042553192
144,74.39,8,8,0.5,6,6,12,2,2,4,0.5,0.75,0.125,0.75,0.125,3,7.50354609929078
39,74.22,9,7,0.4375,8,9,17,4,5,9,0.125,0.375,0.25,0.625,0.25,4,7.631205673758865
92,73.88,10,6,0.375,6,7,13,2,3,5,0.75,0.5,0.625,0.5,0.625,3,7.546099290780142
31,73.38,7,9,0.5625,8,5,13,4,2,6,0.375,0.375,0.625,0.625,0.625,3,7.914893617021277
60,73.05,4,12,0.75,5,4,9,3,1,4,0.75,0.5,0.625,0.5,0.625,3,8.184397163120567
105,72.22,13,3,0.1875,5,4,9,2,3,5,0.625,0.625,0.625,0.625,0.625,3,7.475177304964539
9,72.05,6,10,0.625,6,6,12,4,1,5,0.5,0.5,0.5,0.5,0.5,3,8.198581560283689
0,71.99,8,8,0.5,8,6,14,4,3,7,0.25,0.5,0.375,0.25,0.375,4,8.198581560283689
11,71.52,9,7,0.4375,6,6,12,3,3,6,0.375,0.375,0.5,0.375,0.5,4,7.574468085106383
143,70.96,8,8,0.5,9,5,14,3,3,6,0.25,0.25,0.25,0.75,0.25,3,7.617021276595745
47,70.62,9,7,0.4375,8,8,16,5,3,8,0.625,0.625,0.625,0.375,0.625,3,7.900709219858156
53,70.3,5,11,0.6875,6,7,13,4,1,5,0.625,0.625,0.625,0.375,0.625,3,7.843971631205674
8,70.09,4,12,0.75,6,6,12,4,3,7,0.5,0.5,0.5,0.5,0.5,4,8.595744680851064
56,68.72,11,5,0.3125,7,7,14,3,4,7,0.625,0.625,0.5,0.625,0.5,3,8.127659574468085
19,67.68,5,11,0.6875,6,5,11,3,1,4,0.625,0.625,0.375,0.625,0.375,4,8.042553191489361
133,66.82,9,7,0.4375,5,9,14,4,2,6,0.625,0.625,0.5,0.625,0.5,3,7.475177304964539
68,66.77,9,7,0.4375,7,7,14,2,4,6,0.375,0.625,0.375,0.375,0.375,4,7.98581560283688
117,62.76,10,6,0.375,6,9,15,3,4,7,0.5,0.5,0.25,0.75,0.25,3,7.829787234042553
46,61.33,6,10,0.625,5,9,14,4,3,7,0.5,0.25,0.5,0.5,0.5,4,7.631205673758865
57,59.63,8,8,0.5,6,10,16,4,4,8,0.75,0.0,0.5,0.25,0.5,4,8.170212765957446
137,58.48,7,9,0.5625,5,7,12,3,1,4,0.625,0.375,0.5,0.375,0.5,3,7.659574468085107
135,43.76,9,7,0.4375,8,8,16,4,4,8,0.375,0.375,0.25,0.625,0.25,3,7.460992907801418
